serial number,credit_amount
1,1517.6372
2,2184.737
3,2878.4954
4,1456.9355
5,2798.487
6,5432.406
7,969.8179
8,1021.3387
9,9084.478
10,4161.168
11,1088.9891
12,954.6801
13,3139.6377
14,3931.6265
15,4264.782
16,6655.944
17,1296.8518
18,1977.1499
19,7210.7803
20,1047.2041
21,1186.0356
22,1270.0865
23,3849.816
24,947.5322
25,2707.772
26,1038.2267
27,2400.5115
28,2953.246
29,4883.9595
30,5249.0786
31,1791.5234
32,947.92084
33,6681.629
34,2609.4365
35,1668.9352
36,1358.3011
37,1413.9878
38,1533.2128
39,2933.0525
40,1415.8085
41,3925.306
42,3759.5789
43,1036.6925
44,1921.7947
45,2266.6055
46,3796.9497
47,4077.0076
48,1194.3508
49,1763.7068
50,1391.8268
51,1548.2236
52,3780.683
53,2368.9556
54,1102.5494
55,5875.7544
56,1413.8433
57,1144.4977
58,1870.549
59,1286.1354
60,1571.9172
61,3419.0308
62,1261.2395
63,1211.5608
64,4464.6973
65,1525.9279
66,1471.7108
67,2068.7742
68,2072.702
69,5369.683
70,1228.3959
71,3552.962
72,1184.7931
73,1551.7283
74,1053.6549
75,1647.7864
76,1237.267
77,4182.8477
78,1900.0889
79,2992.6519
80,6182.7227
81,4868.5947
82,3738.6462
83,2793.7961
84,1218.4891
85,2648.5679
86,854.3267
87,2699.4272
88,9787.286
89,3964.6128
90,3919.5947
91,4014.3484
92,2288.1067
93,1412.3157
94,3491.012
95,3165.719
96,6095.4707
97,2065.3015
98,1344.591
99,2008.8633
100,2996.6418
101,2871.3225
102,2794.305
103,8813.192
104,1216.0513
105,2097.7092
106,1485.9745
107,3728.4287
108,2844.249
109,5783.1
110,2177.938
111,2941.0508
112,2445.9856
113,3762.1265
114,1533.4302
115,5874.9478
116,6906.8906
117,3565.2642
118,2454.5632
119,3178.7854
120,8410.692
121,1476.9318
122,4112.35
123,1208.8657
124,2192.6887
125,4738.2085
126,1238.5511
127,1506.0189
128,7305.233
129,2932.4202
130,1370.1581
131,2759.9434
132,915.91266
133,1585.6307
134,1180.1615
135,1031.2128
136,1629.3624
137,966.53534
138,990.03424
139,5936.503
140,5954.7886
141,4947.7256
142,1245.8713
143,2889.0466
144,1292.4617
145,2433.726
146,7323.783
147,2271.986
148,2208.5586
149,1260.3599
150,2791.8853
151,1491.1981
152,6528.0273
153,2293.7046
154,3384.6836
155,1206.744
156,2203.8215
157,2297.7903
158,1288.9781
159,3414.8882
160,4428.973
161,1021.9194
162,5191.3555
163,1758.6693
164,1655.2963
165,626.1221
166,2879.9846
167,1614.747
168,1632.8821
169,4689.553
170,4008.239
171,1157.5781
172,5213.085
173,2454.2292
174,7075.046
175,2361.5984
176,1986.1294
177,2462.0588
178,1891.8925
179,1975.9456
180,1461.5712
181,5070.219
182,9856.466
183,2655.006
184,5014.408
185,3575.4275
186,1330.7104
187,5371.467
188,1762.5221
189,6382.485
190,1749.5964
191,2790.0798
192,1313.0083
193,1827.213
194,8122.3374
195,1301.8528
196,1278.8094
197,4578.025
198,1109.0214
199,4958.3926
200,6420.7915
