serial number,credit_amount
1,2172.12197920158
2,3552.712620759184
3,3320.757661626098
4,2275.415542173582
5,7070.333311219189
6,3172.8503665197372
7,2719.6138453355734
8,2350.1285040717203
9,6865.87306967796
10,2454.163919430091
11,1782.6007742427737
12,2883.6103809000438
13,2951.9660717895185
14,3120.7439107090327
15,2920.287677602692
16,3649.9580082459324
17,1807.5874579192384
18,2843.4734744227767
19,5511.875003902274
20,2695.150208185899
21,1584.6075399796807
22,2006.2232544160986
23,2703.127944994371
24,1814.7240158067336
25,2496.4565860439766
26,1772.617035933391
27,2808.040212768478
28,2626.7610126983195
29,3496.2417457513825
30,4455.271600674797
31,2326.140378125434
32,2362.555776504963
33,3660.2630414241303
34,3760.602510804445
35,2782.477861140342
36,1755.1232774393472
37,2888.074266745625
38,2932.0756008705503
39,2105.491587496484
40,2352.4109447954565
41,2788.373476406661
42,2636.926717254774
43,2346.204010704734
44,2121.061396238983
45,2380.2153582422416
46,2925.5157758718633
47,3001.5901853810988
48,1775.9795685092122
49,2657.468041795688
50,2441.150242697207
51,2826.3107340086776
52,2549.810098354504
53,2472.4003603691153
54,2075.264191598106
55,3346.3647193140205
56,1784.8635927357664
57,2934.2833451484785
58,2408.4649647605856
59,2348.774168349954
60,2610.017626030533
61,2292.280726897969
62,1935.4913806929726
63,2910.2895141191234
64,2442.8185364797987
65,2309.8653976782675
66,3097.0724690459197
67,3045.5055794052514
68,2609.8593075922495
69,2957.7039391897742
70,2804.6673641580287
71,3557.519596709441
72,1774.8589195619086
73,2189.2726294269764
74,2551.6405408681035
75,2165.3536570718766
76,2249.1115090026037
77,3197.339786263037
78,2915.0417931846955
79,1953.1083475903695
80,3489.6973425137917
81,2379.677491625442
82,2903.7925339404537
83,2552.619201485943
84,2525.7481897497782
85,2344.139061500596
86,1997.923551390968
87,2763.6690340433183
88,3747.920944260295
89,3160.3886947780834
90,4295.442754924944
91,2959.5123258247127
92,2403.4209912334777
93,1585.8882846377219
94,3297.3251800316234
95,2512.241796409826
96,4403.153052729857
97,2723.1920030250444
98,2694.986812240905
99,3607.6647980031435
100,2451.1487103915006
101,2935.958346506582
102,2574.433948229274
103,3989.187807470715
104,2528.5686520937547
105,2591.738799141714
106,2585.3978274128126
107,3382.8808648795552
108,2880.6275941100707
109,3062.5092935938005
110,2922.744255574338
111,3488.856364016559
112,3367.5693494493175
113,3719.80978619507
114,1959.8088858811695
115,2378.472871308088
116,11919.877541072483
117,2268.248912760075
118,2242.1645825032974
119,2522.5688789315664
120,3078.1151516618033
121,2525.512893629118
122,3679.891514139412
123,2606.218408009486
124,2023.943889931198
125,2398.6795543581707
126,1535.9006988275962
127,2828.0778426467537
128,3846.688379883764
129,2921.8722956667516
130,1866.1846668689443
131,2028.1827654970202
132,2745.317812855885
133,1854.5942430415332
134,1966.8393059897442
135,2811.9402556008877
136,2898.3558089853354
137,2572.290706922842
138,2032.9103260140976
139,3913.4345463820027
140,3637.82198989804
141,3404.331184356095
142,2091.1755107600757
143,2796.286780771941
144,2055.42197159663
145,3610.3307628530238
146,5927.907797743927
147,2887.784717715214
148,2218.126878898975
149,1949.2150547044919
150,2719.101363003497
151,2047.7428700175608
152,3485.4395888936174
153,3078.4142773507406
154,3616.7774477263793
155,2452.1756164594426
156,3222.4321009418327
157,2582.3535082349276
158,2364.605435416722
159,2321.7384254056446
160,2844.4582114949376
161,2263.682840970586
162,2424.9197373490615
163,2352.6630088501456
164,2546.7602614340335
165,1307.818470781057
166,3372.831957441565
167,2171.858342775827
168,3107.739879547178
169,3669.9908000632663
170,2560.209966537705
171,2781.1128037245276
172,2873.5044103278947
173,2903.266400403902
174,4201.793113346715
175,3091.9360495815713
176,2827.279499790135
177,3236.6178115432735
178,2228.7322805178865
179,1923.3120346796022
180,1769.0838465593115
181,2866.1646567503635
182,4436.372342673449
183,2791.1803269041934
184,2961.3106914317636
185,2621.3409705625486
186,2773.820043317628
187,2992.173169594498
188,2996.2524774413064
189,2841.3049398243716
190,2161.5672699064303
191,2113.4561406717016
192,2138.614437991919
193,2738.111354520639
194,2979.699607187978
195,2021.2204171833448
196,2885.551238702466
197,2275.01738555006
198,2156.5330040683
199,4022.5918558063972
200,3471.8062916896215
